,Apartment_Name,Apartment_Add,Apartment_Price,Apartment_Tel,Apartment_Type,Apartment_Link
441,407 S Evaline St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/407-s-evaline-st-pittsburgh-pa/566wczp/
442,648 Maryland Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/648-maryland-ave-pittsburgh-pa/9jqv9b6/
443,5819 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5819-5th-ave-pittsburgh-pa/0p8rx02/
444,425 S Aiken Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/425-s-aiken-ave-pittsburgh-pa/t33eqbb/
445,630-632 Maryland Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/630-632-maryland-ave-pittsburgh-pa/w37ex6l/
446,Elwood Gardens,"5819-5835 Elwood St, Pittsburgh, PA 15232",0,,,https://www.apartments.com/elwood-gardens-pittsburgh-pa/znqcztz/
447,365 Gross St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/365-gross-st-pittsburgh-pa/fgfzgtr/
448,707-715 Cherokee St,"Pittsburgh, PA 15219",0,,,https://www.apartments.com/707-715-cherokee-st-pittsburgh-pa/7h69kdy/
449,4773 Mitre Way,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/4773-mitre-way-pittsburgh-pa/q1hzmsz/
450,MANHATTAN,"806 College St, Pittsburgh, PA 15232",0,,,https://www.apartments.com/manhattan-pittsburgh-pa/411x6th/
451,5636 Forbes Ave,"Pittsburgh, PA 15217",0,,,https://www.apartments.com/5636-forbes-ave-pittsburgh-pa/49n46fj/
452,359 S Pacific Ave,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/359-s-pacific-ave-pittsburgh-pa/dy27fkh/
453,5731 Centre Ave,"Pittsburgh, PA 15206",0,,,https://www.apartments.com/5731-centre-ave-pittsburgh-pa/8pkrwh3/
454,Allequippa Place,"2561 Allequippa St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/allequippa-place-pittsburgh-pa/xkj9mbn/
455,350 S Aiken Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/350-s-aiken-ave-pittsburgh-pa/31ep6te/
456,Center Plaza Apartments,"2841 Centre Ave, Pittsburgh, PA 15219",0,,,https://www.apartments.com/center-plaza-apartments-pittsburgh-pa/7j24z4z/
457,362 Stratford Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/362-stratford-ave-pittsburgh-pa/b69bw1c/
458,205 Robinson St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/205-robinson-st-pittsburgh-pa/l16d4wg/
459,Walnut on Forbes,"5703-5719 Forbes Ter, Pittsburgh, PA 15217",0,,,https://www.apartments.com/walnut-on-forbes-pittsburgh-pa/c38n1mf/
460,5922 Howe St,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5922-howe-st-pittsburgh-pa/588gk3q/
461,5920 Walnut St,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5920-walnut-st-pittsburgh-pa/4dehffk/
462,328-330 S Pacific Ave,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/328-330-s-pacific-ave-pittsburgh-pa/r7v9fq2/
463,151 Robinson St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/151-robinson-st-pittsburgh-pa/840bs22/
464,Wendover Street Apartments,"2036 Wendover St, Pittsburgh, PA 15217",0,,,https://www.apartments.com/wendover-street-apartments-pittsburgh-pa/85f3t70/
465,342 S Graham St,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/342-s-graham-st-pittsburgh-pa/0b48fs0/
466,631 College St,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/631-college-st-pittsburgh-pa/5ptqwxp/
467,324 S Mathilda St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/324-s-mathilda-st-pittsburgh-pa/1pg8d97/
468,Fourplex + 8-car Detached Garage in Bloomfiel,"336-338 Pearl St, Pittsburgh, PA 15224",0,,,https://www.apartments.com/fourplex-8-car-detached-garage-in-bloomfiel-pittsburgh-pa/ljnf8vd/
469,304 S Winebiddle St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/304-s-winebiddle-st-pittsburgh-pa/he9tfv3/
470,4740-4748 Courday St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/4740-4748-courday-st-pittsburgh-pa/ndp5evq/
471,5602 Beacon St,"Pittsburgh, PA 15217",0,,,https://www.apartments.com/5602-beacon-st-pittsburgh-pa/lgspq4f/
472,301 S Winebiddle St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/301-s-winebiddle-st-pittsburgh-pa/1gem9e4/
473,Tandem Tower,"331 S Negley Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/tandem-tower-pittsburgh-pa/5z6s5jq/
474,Highwood,"372 S Highland Ave, Pittsburgh, PA 15206",0,,,https://www.apartments.com/highwood-pittsburgh-pa/qyfel7w/
475,0.0,0.0,0.0,0.0,0.0,0.0
476,0.0,0.0,0.0,0.0,0.0,0.0
477,0.0,0.0,0.0,0.0,0.0,0.0
478,0.0,0.0,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0,0.0,0.0
487,0.0,0.0,0.0,0.0,0.0,0.0
488,0.0,0.0,0.0,0.0,0.0,0.0
489,0.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0,0.0,0.0
492,0.0,0.0,0.0,0.0,0.0,0.0
493,0.0,0.0,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0,0.0
